amplitude_id,user_id,city,device,os,platform,region,gp:BCS,Birthday,gp:Delinquency amount,gp:Nip Verify,gp:Number of Revolving credits,gp:Number of no revolving credits,gp:Total Credit Line,gp:Total current debt,gp:utm_source,Age
412913000000.0,,Aguascalientes,Android,Chrome Mobile 102,Web,Aguascalientes,,,,,,,,,adwords,
412375000000.0,,Puebla City,Android,Chrome Mobile 101,Web,Puebla,,,,,,,,,,
412943000000.0,,Xalapa,Android,Chrome Mobile 102,Web,Veracruz,,,,,,,,,adwords,
411987000000.0,,Hermosillo,Android,Chrome Mobile 102,Web,Sonora,,,,,,,,,rocket,
412933000000.0,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
411500000000.0,44c88bea-f02e-4351-b102-1da6d2fef7b3,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,550.0,1987-04-08,493792.0,VERDADERO,2.0,1.0,14000.0,-150520.0,adwords,36.0
411929000000.0,41ba2f2e-6809-4613-bdab-e8d1f68ce298,Zapopan,Android,Chrome Mobile 102,Web,Jalisco,,,,,,,,,adwords,
278099000000.0,4cb472a1-0d80-4055-9aac-041969d5c43d,Monterrey,Android,Chrome Mobile 101,Web,Nuevo León,9.0,1995-05-01,,VERDADERO,,,,,adwords,28.0
412360000000.0,,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,,,,,,,,,
411902000000.0,94817c51-b1ee-4a90-baa4-61fbfbbf0e5f,Venustiano Carranza,Windows,Edge 98,Web,Mexico City,699.0,1999-11-17,0.0,VERDADERO,1.0,0.0,2000.0,0.0,adwords,24.0
412838000000.0,,Monterrey,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,rocket,
385514000000.0,6b52d08d-acc1-4ec8-8723-2453eceb3e67,Zapotlan el Grande,Android,Chrome Mobile 102,Web,Jalisco,602.0,2000-04-10,277.0,VERDADERO,1.0,1.0,21672.0,8993.0,adwords,23.0
412302000000.0,ae8dd0e2-d974-4a7a-a66e-99109bc04511,San Luis Potosí City,Android,Chrome Mobile 102,Web,San Luis Potosí,589.0,1982-09-12,48442.0,VERDADERO,1.0,2.0,18700.0,18136.0,adwords,41.0
412392000000.0,,Rioverde,Android,Chrome Mobile 102,Web,San Luis Potosí,,,,,,,,,adwords,
412356000000.0,7d12d6b2-3e34-46e7-8386-f077a3f2c4ef,Puebla City,Apple iPhone,Mobile Safari 15,Web,Puebla,660.0,1996-09-01,0.0,VERDADERO,7.0,0.0,42900.0,18067.0,adwords,27.0
411216000000.0,53e08ced-741a-4cbe-8dc8-3c78f67bd817,Tampico,Windows,Chrome 102,Web,Tamaulipas,,,,,,,,,adwords,
412019000000.0,248bd8a7-bd78-426e-98f0-4bc5d1449735,Naucalpan,Windows,Chrome 102,Web,México,601.0,1992-02-05,159415.0,VERDADERO,0.0,1.0,,1128.0,adwords,31.0
412635000000.0,c3930a1c-c1cf-4f90-bae0-9ad80f2e8a6b,Aguascalientes,Chromium OS,Chrome 69,Web,Aguascalientes,,1998-10-04,,,,,,,adwords,25.0
412803000000.0,f705cb6b-a475-46f0-a2e0-b9f090f571ed,Monclova,Android,Chrome Mobile 102,Web,Coahuila,,,,,,,,,,
188393000000.0,83716b20-eede-4fc1-b435-7aa7a40ed83b,Lerma de Villada,Windows,Chrome 102,Web,México,556.0,,10983.0,VERDADERO,0.0,1.0,,0.0,notifications,
412028000000.0,,Tizayuca,Android,Chrome Mobile 102,Web,Hidalgo,,,,,,,,,adwords,
412812000000.0,312c10ce-8885-480c-8256-e8709078f88f,Xalapa,Windows,Chrome 102,Web,Veracruz,,,,,,,,,adwords,
412553000000.0,,,Android,Chrome Mobile 79,Web,Veracruz,,,,,,,,,adwords,
411882000000.0,,Jiutepec,Android,Chrome Mobile 102,Web,Morelos,,,,,,,,,,
412426000000.0,,Saltillo,Apple iPhone,GSA 213,Web,Coahuila,,,,,,,,,adwords,
411788000000.0,,Iztapalapa,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
393777000000.0,,Mexico City,Android,Chrome Mobile 101,Web,Mexico City,,,,,,,,,rocket,
412045000000.0,,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,,,,,,,,adwords,
412800000000.0,9d759a18-8d2e-4f99-a90b-0b11d74da7f3,Naucalpan,Android,Chrome Mobile 102,Web,México,599.0,1977-08-08,25768.0,VERDADERO,1.0,1.0,6400.0,1851.0,,46.0
411579000000.0,f902007c-7530-4106-9170-e3a336823bc6,Iztapalapa,Android,Chrome Mobile 102,Web,Mexico City,645.0,1991-01-08,0.0,VERDADERO,,,7500.0,19199.0,,32.0
294111000000.0,f4d904c6-bb9c-4973-bca7-340bc5436c23,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,604.0,1997-12-20,,VERDADERO,,,,,adwords,26.0
411877000000.0,a87d01ac-23c2-4fa3-9b55-1507147d0b06,Puebla,Android,Chrome Mobile 102,Web,Mexico City,586.0,1987-09-19,26594.0,VERDADERO,4.0,4.0,35800.0,266052.0,,36.0
411400000000.0,,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,rocket,
411456000000.0,,Celaya,Android,Chrome Mobile 102,Web,Guanajuato,,,,,,,,,adwords,
344757000000.0,d93a5741-992b-4239-8457-672fd7126021,Ciudad Juárez,Android,Chrome Mobile 102,Web,Chihuahua,549.0,1995-03-12,8629.0,VERDADERO,1.0,1.0,1395.0,0.0,adwords,28.0
412376000000.0,,Ciudad Obregón,Android,Chrome Mobile 102,Web,Sonora,,,,,,,,,,
412467000000.0,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,rocket,
411933000000.0,34bb3cb8-50fd-4c96-85e1-a753958c3f6a,Cunduacan,Android,Chrome Mobile 102,Web,Tabasco,,,,,,,,,,
412613000000.0,,Muscat,Android,Samsung Browser 16,Web,Muscat,,,,,,,,,google2,
412571000000.0,,Ixtapaluca,Android,Chrome Mobile 102,Web,México,,,,,,,,,google2,
408287000000.0,43756190-2b25-4ac8-86ee-27ac6a6053dd,Mexico City,Android,Chrome Mobile 101,Web,Mexico City,599.0,1996-03-23,9241.0,VERDADERO,0.0,1.0,,0.0,google2,27.0
412924000000.0,a07e7ed2-0006-451f-910a-e24fe295a550,Villahermosa,Android,Chrome Mobile 102,Web,Tabasco,670.0,2001-07-29,0.0,VERDADERO,1.0,0.0,2700.0,625.0,adwords,22.0
412433000000.0,,Tijuana,Android,Chrome Mobile 101,Web,Baja California,,,,,,,,,adwords,
412350000000.0,,San Luis Potosí City,Android,Chrome Mobile 102,Web,San Luis Potosí,,,,,,,,,adwords,
412750000000.0,,Teotihuacan,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords,
412937000000.0,,,KAIOS,Firefox 48,Web,Nuevo León,,,,,,,,,,
411670000000.0,ebe0754d-4d43-4626-8ed0-fe4c248666ac,Ciudad Lopez Mateos,Android,Chrome Mobile 102,Web,México,529.0,1970-05-29,60519.0,VERDADERO,0.0,2.0,,0.0,,53.0
412386000000.0,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
412506000000.0,,San Luis Potosí City,Android,Chrome Mobile 102,Web,San Luis Potosí,,,,,,,,,,
412070000000.0,bcb02a21-b971-4547-a12f-63e0c9cd9487,Alvaro Obregon,Android,Chrome Mobile 102,Web,Mexico City,661.0,1987-01-16,16866.0,VERDADERO,0.0,1.0,,6134.0,adwords,36.0
412233000000.0,,,Android,Chrome Mobile 100,Web,Nuevo León,,,,,,,,,adwords,
283879000000.0,0c9f360d-6a48-4a8e-b6d4-16a5c068cd3c,Mérida,Android,Chrome Mobile 102,Web,Yucatán,9.0,2002-12-12,,VERDADERO,,,,,adwords,21.0
412346000000.0,8341326d-a722-4aaf-80cf-b9e4645f562a,Saltillo,Android,Chrome Mobile 102,Web,Coahuila,586.0,1990-10-29,2520.0,VERDADERO,1.0,0.0,14999.0,1059.0,adwords,33.0
412808000000.0,a572f076-98bb-40fc-a1d4-3aae8eeb2a13,Puebla,Windows,Chrome 102,Web,Mexico City,635.0,1975-01-12,640.0,VERDADERO,4.0,1.0,380900.0,522473.0,adwords,48.0
412304000000.0,,Mexico City,Android,Chrome Mobile 88,Web,Mexico City,,,,,,,,,,
395293000000.0,97de8765-1a62-45a9-825e-bbe5487dd241,Mexico City,Android,Chrome Mobile 100,Web,Mexico City,613.0,,,,,,,,google2,
412918000000.0,,,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,adwords,
412448000000.0,05b21f19-90ce-405f-8924-98759dceddb6,Gustavo Adolfo Madero,Android,Chrome Mobile 101,Web,Mexico City,,1982-09-24,,,,,,,adwords,41.0
396617000000.0,49e54fbc-ff92-4377-bf10-0ee2009a0cc5,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,,,,,,,,,adwords,
412488000000.0,,,Android,Chrome Mobile 102,Web,,,,,,,,,,adwords,
411792000000.0,,Mexico City,Windows,Chrome 99,Web,Mexico City,,,,,,,,,adwords,
411907000000.0,,Monterrey,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,,
365495000000.0,2eaad8c2-cf5a-4083-8d9d-7f29ddaaef93,Puebla City,Android,Chrome Mobile 102,Web,Puebla,9.0,1996-08-03,,VERDADERO,,,,,adwords,27.0
326426000000.0,079a527a-a284-4440-bfaa-04113c2a5177,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,9.0,2000-12-14,,VERDADERO,,,,,adwords,23.0
411940000000.0,,Tlalnepantla,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords,
411404000000.0,,Cancún,Android,Chrome Mobile 102,Web,Quintana Roo,,,,,,,,,adwords,
404987000000.0,c894a1ca-84dc-4361-a9c9-29757aa7569a,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,2001-10-31,,,,,,,adwords,22.0
412969000000.0,,Puebla,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
412346000000.0,9d0e3258-2ccb-4f4c-a265-0bff49b9d00d,Xalapa,Windows,Chrome 102,Web,Veracruz,9.0,1990-04-09,,VERDADERO,,,,,adwords,33.0
411790000000.0,,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,,,,,,,,adwords,
411570000000.0,,,Android,Chrome Mobile 102,Web,,,,,,,,,,,
412423000000.0,,Venustiano Carranza,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,,
401671000000.0,,Acapulco de Juárez,Android,Chrome Mobile 102,Web,Guerrero,,,,,,,,,google2,
411828000000.0,01545e1a-2b45-4a36-b411-b9df7edc3e5e,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,587.0,1996-12-11,17182.0,VERDADERO,,,2.0,925.0,adwords,27.0
412930000000.0,34134535-b72b-46fe-8cb9-63982bf37f10,Tampico,Android,Chrome Mobile 102,Web,Tamaulipas,606.0,1978-03-07,11191.0,VERDADERO,1.0,3.0,14100.0,156969.0,adwords,45.0
412718000000.0,,Zapopan,Android,Chrome Mobile 102,Web,Jalisco,,,,,,,,,adwords,
399820000000.0,a160fc17-872a-4755-8f27-c1d3dceb9b5b,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,8.0,1981-11-05,0.0,VERDADERO,,,37000.0,36499.0,adwords,42.0
412883000000.0,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
286776000000.0,,Cuautitlán Izcalli,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords,
412032000000.0,dcc90dc7-f354-48f6-8ddf-5a8d7308d4ad,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,,,,,,,,adwords,
411341000000.0,e4115cf3-cd69-4984-9e45-c78c838565c2,León,Android,Chrome Mobile 102,Web,Guanajuato,634.0,1955-06-11,252313.0,VERDADERO,2.0,1.0,275500.0,-226238.0,adwords,68.0
412665000000.0,,Nuevo Laredo,Android,Chrome Mobile 102,Web,Tamaulipas,,,,,,,,,adwords,
411856000000.0,,Querétaro City,Android,Chrome Mobile 90,Web,Querétaro,,,,,,,,,adwords,
412895000000.0,,Tlahuelilpan,Android,Chrome Mobile 102,Web,Hidalgo,,,,,,,,,,
411860000000.0,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
412072000000.0,a0762434-90f1-4ce9-b8b3-22c489f6e621,Ciudad Lopez Mateos,Android,Chrome Mobile 102,Web,México,,1997-10-29,,,,,,,adwords,26.0
412366000000.0,d4310d8b-cbb4-417f-86a3-361e824c5926,Lerma de Villada,Android,Chrome Mobile 102,Web,México,637.0,1994-07-21,0.0,VERDADERO,1.0,1.0,10400.0,350946.0,adwords,29.0
411636000000.0,379f22e7-87ff-4577-ac29-1f3e720baf54,Fresnillo,Windows,Firefox 101,Web,Zacatecas,,1999-01-29,,,,,,,,24.0
412489000000.0,,Coatzacoalcos,Windows,Chrome 102,Web,Veracruz,,,,,,,,,adwords,
412866000000.0,,Monterrey,Windows,Edge 16,Web,Nuevo León,,,,,,,,,,
412326000000.0,,Juarez,Android,Chrome Mobile 101,Web,Quintana Roo,,,,,,,,,adwords,
400219000000.0,d356391d-67b9-44c9-a4a5-95c0cf008027,Tijuana,Android,Chrome Mobile 102,Web,Baja California,602.0,1993-08-14,6045.0,VERDADERO,1.0,2.0,6000.0,290196.0,adwords,30.0
411449000000.0,,Zapopan,Android,Chrome Mobile 102,Web,Jalisco,,,,,,,,,adwords,
411835000000.0,679ebd97-0339-417b-b71d-8627690687f6,Mérida,Android,Chrome Mobile 102,Web,Yucatán,585.0,1989-05-07,1457.0,VERDADERO,1.0,0.0,10000.0,10713.0,adwords,34.0
397693000000.0,,Guadalupe Trujillo,Android,Chrome Mobile 101,Web,Zacatecas,,,,,,,,,google2,
411932000000.0,719188e9-5654-4624-a6f1-8913428e862b,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
412829000000.0,0c5e0a04-d2ac-4741-a961-8582a24c4385,Villahermosa,Windows,Edge 102,Web,Tabasco,9.0,1989-08-12,,VERDADERO,,,,,adwords,34.0
411911000000.0,,Oaxaca City,Android,Chrome Mobile 102,Web,Oaxaca,,,,,,,,,adwords,
411568000000.0,8178e240-18bd-4434-8fdf-d15668a241b5,Puebla,Android,Chrome Mobile 80,Web,Mexico City,571.0,1962-10-28,1537000.0,VERDADERO,2.0,2.0,195900.0,-757451.0,,61.0
412715000000.0,,Iztapalapa,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
411355000000.0,,,Android,Chrome Mobile 102,Web,,,,,,,,,,adwords,
411849000000.0,495e1367-b849-4b1f-a686-0cfea9d35fe5,Monterrey,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,adwords,
400739000000.0,8984cb4f-c56a-4965-9dd8-1ffb85925a3b,Querétaro City,Android,UCBrowser 11,Web,Querétaro,535.0,1968-07-02,44684.0,VERDADERO,0.0,3.0,,0.0,adwords,55.0
412276000000.0,8e40d389-03d5-409c-bcf0-ce43f4049e7e,Tuxtla Gutiérrez,Android,Chrome Mobile 101,Web,Chiapas,523.0,1967-06-10,55037.0,VERDADERO,0.0,2.0,,-9058.0,adwords,56.0
411885000000.0,3cb4506b-e24a-4920-86a6-d4e7a288ad17,Tijuana,Android,Chrome Mobile 102,Web,Baja California,9.0,2004-02-23,,VERDADERO,,,,,adwords,19.0
412478000000.0,,Ecatepec,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords,
411437000000.0,683235bc-3b61-4f71-b674-58d87da1706f,Querétaro City,Android,Chrome Mobile 100,Web,Querétaro,9.0,2000-05-18,,VERDADERO,,,,,adwords,23.0
412800000000.0,,Ahome,Android,Chrome Mobile 95,Web,Sinaloa,,,,,,,,,adwords,
411987000000.0,013a8e78-8f15-49d2-a0cb-1273e0970127,Mérida,Android,Chrome Mobile 102,Web,Yucatán,538.0,1993-08-14,48129.0,VERDADERO,1.0,7.0,19800.0,11458.0,adwords,30.0
411787000000.0,ed42be38-ea18-44f1-bb30-5356b7085160,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,8.0,1979-06-03,2108.0,VERDADERO,,,,-2108.0,adwords,44.0
412056000000.0,3602cc4f-54f2-4323-9eb2-4ed9a280ea82,Zacatecas City,Android,Chrome Mobile 102,Web,Zacatecas,632.0,1985-10-11,0.0,VERDADERO,1.0,2.0,5500.0,99794.0,,38.0
339151000000.0,cacb4cc6-d348-4e67-9b54-4fd10368efb9,Mexico City,Android,Chrome Mobile 100,Web,Mexico City,9.0,1989-05-19,,VERDADERO,,,,,rocket,34.0
392798000000.0,0a214eca-6577-4298-8f67-236fea0d1c88,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,1990-09-01,,VERDADERO,,,,,adwords,33.0
412978000000.0,,Zacatepec,Android,Chrome 92,Web,Morelos,,,,,,,,,adwords,
411325000000.0,bd7684fc-86b9-433d-957e-317f048eec13,Guadalupe,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,adwords,
411797000000.0,7541959c-a988-4845-9309-094a33251a97,Queretaro,Android,Chrome Mobile 102,Web,Querétaro,652.0,1996-01-19,0.0,VERDADERO,0.0,1.0,,15000.0,adwords,27.0
411488000000.0,,Tlaquepaque,Android,Chrome Mobile 94,Web,Jalisco,,,,,,,,,,
411414000000.0,,Seattle,Windows,Chrome 86,Web,Washington,,,,,,,,,,
412841000000.0,67f661db-d604-495c-96e9-f4b3ddf18ccd,Tijuana,Apple iPhone,Chrome Mobile 102,Web,Baja California,536.0,1998-01-28,13591.0,VERDADERO,1.0,1.0,9900.0,0.0,adwords,25.0
412911000000.0,7375a684-31c3-4f71-861d-27d832d90f4c,Pachuca,Windows,Chrome 102,Web,Hidalgo,9.0,1994-04-04,,VERDADERO,,,,,adwords,29.0
411885000000.0,cf86a205-4e03-472c-88a4-aeeab5755f2c,Apodaca,Windows,Chrome 102,Web,Nuevo León,,1995-04-27,,,,,,,adwords,28.0
412429000000.0,,Culiacán,Android,Chrome Mobile 102,Web,Sinaloa,,,,,,,,,rocket,
408265000000.0,c766bec3-607b-452c-8bbc-29defb2f56aa,,Android,Chrome Mobile 102,Web,Jalisco,592.0,1997-11-13,9131.0,VERDADERO,3.0,0.0,4501.0,2924.0,adwords,26.0
412742000000.0,2621c494-ac82-480f-af4a-04dffc598620,Cuernavaca,Android,Chrome Mobile 102,Web,Morelos,521.0,1992-05-01,53953.0,VERDADERO,0.0,4.0,,9309.0,adwords,31.0
407917000000.0,877d21aa-b469-4ebb-b760-d6bd3254a35d,Ciudad Nezahualcoyotl,Android,Chrome Mobile 87,Web,México,,,,,,,,,,
411857000000.0,,Mérida,Apple iPhone,GSA 211,Web,Yucatán,,,,,,,,,adwords,
411458000000.0,,Naucalpan,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords,
412034000000.0,,,Apple iPhone,Mobile Safari 14,Web,,,,,,,,,,rocket,
412253000000.0,698fb31b-dd95-4b57-9fe8-69ed193c3215,Mexico City,Mac,Safari 15,Web,Mexico City,595.0,1989-09-12,7156.0,VERDADERO,0.0,0.0,,0.0,adwords,34.0
412756000000.0,,Villahermosa,Android,Chrome Mobile 77,Web,Tabasco,,,,,,,,,adwords,
412376000000.0,0f3c5d09-2cd1-4c91-ba05-05ecc1c1d5c4,Puebla,Android,Chrome Mobile 101,Web,Mexico City,9.0,1953-06-29,,VERDADERO,,,,,adwords,70.0
412844000000.0,173546dd-f03d-4a8c-bef3-41371676274b,Mexico City,Android,Samsung Browser 17,Web,Mexico City,,1966-06-21,,,,,,,adwords,57.0
385536000000.0,084743d8-dbf0-4fdd-ab43-e21189ffc851,Monterrey,Android,Chrome Mobile 102,Web,Nuevo León,547.0,1981-04-14,3759.0,VERDADERO,1.0,0.0,8510.0,0.0,adwords,42.0
411970000000.0,,Oaxaca City,Android,Chrome Mobile 102,Web,Oaxaca,,,,,,,,,adwords,
412483000000.0,f0a52617-8b42-4d4c-bac5-cc2bf9a1cfd5,Tlahuac,Android,Chrome Mobile 81,Web,Mexico City,604.0,1989-09-29,13040.0,VERDADERO,1.0,2.0,12613.0,23116.0,adwords,34.0
411960000000.0,,Tlalnepantla,Windows,Chrome 102,Web,México,,,,,,,,,adwords,
411949000000.0,0c83d513-7aec-43c1-9465-4ef5f3188fe6,Monterrey,Android,Chrome Mobile 102,Web,Nuevo León,602.0,1991-06-15,6764.0,VERDADERO,2.0,1.0,36000.0,29543.0,adwords,32.0
412026000000.0,,Mexico City,Android,Chrome Mobile 101,Web,Mexico City,,,,,,,,,adwords,
412911000000.0,0c594b3f-2f76-4504-afcb-01e1892a9311,Monterrey,Windows,Chrome 102,Web,Nuevo León,553.0,1984-08-04,247340.0,VERDADERO,2.0,0.0,210819.0,50787.0,,39.0
281048000000.0,05d1d14a-c157-45d0-aa66-7836d1b31791,Laredo,Windows,Chrome 102,Web,Texas,518.0,,,VERDADERO,,,,,blog,
411975000000.0,,Tula de Allende,Windows,Chrome 102,Web,Hidalgo,,,,,,,,,adwords,
412001000000.0,,Mexico City,Apple iPhone,GSA 213,Web,Mexico City,,,,,,,,,adwords,
266082000000.0,5f3e1199-5449-4944-a091-00bc1fafa298,Cuautitlán Izcalli,Android,Chrome Mobile 102,Web,México,585.0,2001-04-02,977.0,VERDADERO,,,,214.0,adwords,22.0
411364000000.0,,Torreón,Android,Chrome Mobile 102,Web,Coahuila,,,,,,,,,adwords,
412430000000.0,,Venustiano Carranza,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
412896000000.0,2a991ca5-0980-414f-92e4-90c1058a2cf8,Ciudad Juárez,Android,Chrome Mobile 102,Web,Chihuahua,544.0,1999-06-13,5477.0,VERDADERO,1.0,0.0,9900.0,0.0,adwords,24.0
412474000000.0,,Miguel Hidalgo,Android,Chrome Mobile 100,Web,Mexico City,,,,,,,,,adwords,
412262000000.0,56a3c007-95d2-469a-a89f-7d88f53bb131,Mérida,Android,Chrome Mobile 102,Web,Yucatán,569.0,1990-12-31,9384.0,VERDADERO,0.0,2.0,,271334.0,adwords,33.0
412731000000.0,,Mexico City,Apple iPhone,Chrome Mobile 102,Web,Mexico City,,,,,,,,,,
411318000000.0,920068c9-4682-499c-abb6-f78c14c471bf,Tijuana,Android,Chrome Mobile 102,Web,Baja California,,2000-01-29,,,,,,,adwords,23.0
412426000000.0,,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
412354000000.0,f411a371-01cc-4123-9d23-ad32228d4c85,Coatzacoalcos,Android,Chrome Mobile 91,Web,Veracruz,670.0,1983-06-19,0.0,VERDADERO,3.0,0.0,45550.0,17287.0,adwords,40.0
411261000000.0,,Hermosillo,Android,Chrome Mobile 81,Web,Sonora,,,,,,,,,,
412751000000.0,,Chalco,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords,
249306000000.0,9b036beb-7c73-458d-b9ab-afc07914267e,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,1997-12-04,,,,,,,adwords,26.0
